ID,Asteroid1.12,Asteroid2.12,Asteroid3.12,Asteroid4.12,Asteroid5.12,Treatment1.12,Treatment2.12,Treatment3.12,Treatment4.12,Treatment5.12,UncontrollableRisk1.18,UncontrollableRisk2.18,UncontrollableRisk3.18,EffortSurvival.18,ImportantSurvive.18,Wealth.12,SSES.12,Age.1,Education.1,CFC.Future.9,CFC.Immediate.9,SoPA.9,SoNA.9,LifeOrientation.10,Sex.1
1,,,,,,,,,,,94.0,52.0,1.0,1.0,11.0,,,60.0,2,39.0,14.0,3.833333333,1.428571429,11.0,1.0
2,,,,,,,,,,,100.0,50.0,10.0,50.0,11.0,,,61.0,5,,,,,,2.0
3,,,,,,,,,,,,,,,,,,36.0,5,,,,,13.5,1.0
4,,,,,,,,,,,85.0,50.0,60.0,90.0,11.0,,,54.0,6,48.0,9.0,6.5,1.0,13.5,1.0
5,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,50.0,15.0,65.0,100.0,11.0,-0.725533808,3.0,61.0,3,35.0,33.0,6.5,1.0,12.5,2.0
6,,,,,,,,,,,,,,,,,,58.0,3,34.0,21.0,4.166666667,2.714285714,10.5,1.0
7,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,95.0,85.0,15.0,10.0,10.0,,3.0,40.0,2,33.0,20.0,5.833333333,1.428571429,8.0,1.0
8,,,,,,,,,,,,,,,,,,64.0,3,,,,,,1.0
9,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,100.0,95.0,5.0,80.0,1.0,-0.090094976,6.0,49.0,5,49.0,9.0,6.166666667,1.142857143,10.5,1.0
10,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,94.0,70.0,60.0,0.0,8.0,-1.449264888,4.0,68.0,5,24.0,30.0,5.166666667,1.428571429,9.0,2.0
11,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,90.0,60.0,50.0,90.0,11.0,0.158081502,7.0,77.0,6,49.0,7.0,6.0,1.0,15.0,1.0
12,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,,,,,,-0.885418037,2.0,66.0,2,49.0,7.0,6.666666667,1.571428571,5.0,2.0
13,,,,,,,,,,,,,,,,,,52.0,5,,,,,,2.0
14,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,99.0,98.0,1.0,90.0,11.0,-0.969509557,4.0,65.0,3,49.0,9.0,6.0,1.285714286,10.5,1.0
15,,,,,,,,,,,,,,,,,,29.0,5,42.0,9.0,4.5,2.428571429,6.5,1.0
16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,0.957502648,7.0,56.0,5,42.0,17.0,5.666666667,1.714285714,,1.0
17,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,87.0,65.0,30.0,53.0,10.0,-0.50955435,3.0,64.0,3,30.0,34.0,4.666666667,2.857142857,7.0,2.0
18,,,,,,,,,,,,,,,,,,59.0,5,49.0,8.0,5.0,1.428571429,,1.0
19,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,0.693726775,7.0,59.0,7,,,,,15.0,1.0
20,,,,,,,,,,,82.0,75.0,35.0,30.0,7.0,,,62.0,6,34.0,32.0,5.833333333,1.857142857,9.5,2.0
21,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,0.637734189,7.0,46.0,5,37.0,13.0,4.0,,9.5,1.0
22,,,,,,,,,,,,,,,,,,34.0,5,,,,,,2.0
23,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,90.0,40.0,25.0,25.0,9.0,,3.0,31.0,2,25.0,32.0,2.833333333,1.571428571,6.0,1.0
24,,,,,,,,,,,,,,,,,,,3,,,,,14.0,2.0
25,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,75.0,15.0,65.0,85.0,8.0,,4.0,53.0,7,37.0,19.0,4.0,3.428571429,8.0,2.0
26,,,,,,,,,,,,,,,,,,63.0,5,,,,,,2.0
27,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,,,-0.965411473,4.0,61.0,3,29.0,18.0,4.0,1.0,,2.0
28,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,50.0,50.0,9.0,10.0,11.0,-0.405765349,4.0,62.0,4,,,,,11.0,2.0
29,,,,,,,,,,,,,,,,,,54.0,2,,,,,,1.0
30,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,,,,,,,7.0,61.0,2,,,,,14.0,1.0
31,,,,,,,,,,,,,,,,,,57.0,6,,,,,,2.0
32,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,100.0,100.0,0.0,0.0,8.0,-1.289380659,4.0,62.0,5,28.0,26.0,6.166666667,1.285714286,11.5,2.0
33,,,,,,,,,,,,,,,,,,56.0,5,,,,,,2.0
34,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,50.0,59.0,65.0,12.0,7.0,1.10929335,7.0,64.0,4,38.0,20.0,5.166666667,2.285714286,12.0,2.0
35,,,,,,,,,,,,,,,,,,78.0,3,,,,,10.0,2.0
36,,,,,,,,,,,,,,,,,,48.0,6,,,,,,2.0
37,,,,,,,,,,,,,,,,,,65.0,3,35.0,28.0,4.333333333,3.0,10.5,2.0
38,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,100.0,92.0,1.0,50.0,10.0,,6.0,66.0,5,33.0,22.0,5.333333333,2.285714286,14.0,2.0
39,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,,,,,,-0.321571186,3.0,74.0,5,,,,,,2.0
40,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,99.0,97.0,2.0,3.0,10.0,-0.297775621,3.0,39.0,5,35.0,19.0,4.666666667,1.857142857,6.0,2.0
41,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,90.0,50.0,15.0,100.0,11.0,0.050091773,5.0,74.0,3,48.0,11.0,6.0,1.571428571,14.5,2.0
42,,,,,,,,,,,,,,,,,,50.0,5,19.0,39.0,3.666666667,2.571428571,8.5,2.0
43,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,,,0.373958316,3.0,61.0,3,33.0,25.0,3.166666667,1.714285714,12.0,1.0
44,,,,,,,,,,,,,,,,,,40.0,5,,,,,,1.0
